metric,sub_type,value,ts
volume,observer_extract,304,1713586985
volume,dreamer_consolidate,6,1713586985
cohesion,conflict_total,216,1713586985
cohesion,bedrock_total,2,1713586985
cohort,2026-04-19,49,1713586985
cohort,2026-04-18,41,1713586985
cohort,2026-04-17,100,1713586985
cohort,2026-04-16,59,1713586985
cohort,2026-04-15,20,1713586985
friction,tech_docker_neg,6,1713586985
friction,hardcode_conflict,2,1713586985
maturity,expert,0,1713587485
maturity,master,0,1713587485
usage,use_count,0,1713587485
usage,deep_use_count,0,1713587485
precision,total_items,338,1713587485
decay,anchors_decayed,0,1713587485
